title,funders
Implementing Partnership-driven Clinical Federated Electronic Health Record Data Sharing Networks,NHLBI NIH HHS| NCATS NIH HHS
A distributed authentication and authorization scheme for in-network big data sharing,JSPS Grant-in-Aid for Young Scientists (B)| EU-Japan
An information-aware visualization for privacy-preserving accelerometer data sharing,National Natural Science Foundation of China| National Natural Science Foundation of China
What is the future of data sharing for research,Marie Sk?odowska-Curie
Barriers to Working With National Health Service England's Open Data.,Wellcome Trust
Opening clinical trial data: are the voluntary data-sharing portals enough?,NIAID NIH HHS| PHS HHS
GAN-Driven Personalized Spatial-Temporal Private Data Sharing in Cyber-Physical Social Systems,National Natural Science Foundation of China| National Natural Science Foundation of China| Australia ARC| Australia ARC| China Scholarship Council
"Trust in genomic data sharing among members of the general public in the UK, USA, Canada and Australia.",Wellcome Trust
CIKM - MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,National Science Foundation
An Integration of blockchain and AI for secure data sharing and detection of CT images for the hospitals.,Natural Science Foundation of Sichuan Province| Natural Science Foundation of Sichuan Province| China Postdoctoral Science Foundation| China Postdoctoral Science Foundation| Department of Science and Technology of Sichuan Province| Department of Science and Technology of Sichuan Province| Postdoctoral Research Foundation of China| Postdoctoral Research Foundation of China
Joint analysis of binary and quantitative traits with data sharing and outcome-dependent sampling.,NIAMS NIH HHS| NIAMS NIH HHS
The European Union's Adequacy Approach to Privacy and International Data Sharing in Health Research:,NHGRI NIH HHS
Heterogeneous self-tracked health and fitness data integration and sharing according to a linked open data approach,H2020 European Research Council| Alma Mater Studiorum - Università di Bologna
TR-Model. A Metadata Profile Application for Personal Data Transparency,Fundação de Amparo à Pesquisa do Estado de S. Paulo
Estimating exposure of residential assets to natural hazards in Europe using open data,Horizon 2020
Systemic Fairness for Sharing Health Data: Perspectives From Swiss Stakeholders.,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
"Nanoinformatics workshop report: current resources, community needs and the proposal of a collaborative framework for data sharing and information integration",CCR NIH HHS| NCI NIH HHS| NIEHS NIH HHS| NINDS NIH HHS
Ethical issues in computational pathology,Innovate UK
Balancing the risks and benefits of genomic data sharing: genome research participants' perspectives.,NCI NIH HHS| NHGRI NIH HHS| NCI NIH HHS
Open data models for smart health interconnected applications: the example of openEHR,Seventh Framework Programme
PEARC - SeedMe: Data Sharing Building Blocks,National Science Foundation
Privacy Protection and Intrusion Avoidance for Cloudlet-Based Medical Data Sharing,National Natural Science Foundation of China
A study protocol of qualitative data sharing practices in clinical trials in the UK and Ireland: towards the production of good practice guidance,Health Research Board
Use of an electronic health record data sharing system for identifying current contraceptive use within the WWAMI region Practice and Research Network.,NCATS NIH HHS| NCATS NIH HHS
Aggregating multiple real-world data sources using a patient-centered health-data-sharing platform,FDA HHS
Response to physical rehabilitation and recovery trajectories following critical illness: individual participant data meta-analysis protocol.,Chief Scientist Office| NINR NIH HHS| Chief Scientist Office [UK]| NHLBI NIH HHS
Challenges of data sharing: valuable but costly?,Australian National Health and Medical Research Council Practitioner Fellowship
Building Open Access to Research (OAR) Data Infrastructure at NIST.,Intramural NIST DOC
Data sharing statements for clinical trials: a requirement of the International Committee of Medical Journal Editors.,World Health Organization
FAIR SCI Ahead: The Evolution of the Open Data Commons for Pre-Clinical Spinal Cord Injury Research.,NINDS NIH HHS| RRD VA| NCATS NIH HHS| NIMH NIH HHS| NINDS NIH HHS| NINDS NIH HHS| RRD VA
Efficient Verifiable Key-Aggregate Keyword Searchable Encryption for Data Sharing in Outsourcing Storage,National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Shandong Province
Data sharing from pharmaceutical industry sponsored clinical studies: audit of data availability,"Cancer Council SA’s Beat Cancer Project on behalf of its donors and the State Government of South Australia through the Department of Health| Ashley Hopkins is a researcher funded by a Postdoctoral Fellowship from the National Breast Cancer Foundation, Australia"
"Qualitative Data Sharing: Participant Understanding, Motivation, and Consent.",Eunice Kennedy Shriver National Institute of Child Health and Human Development| National Science Foundation
WWW (Companion Volume) - Mining the Web of Life Sciences Linked Open Data for Mechanism-Based Pharmacovigilance,National Institutes of Health
Real-life effectiveness and safety of salbutamol Steri-Neb™ vs. Ventolin Nebules® for exacerbations in patients with COPD: Historical cohort study.,"Teva Branded Pharmaceutical Products R&D, Inc. (Frazer, PA)"
Trends in Blockchain and Federated Learning for Data Sharing in Distributed Platforms,National Research Foundation of Korea
Efficient and privacy-aware attribute-based data sharing in mobile cloud computing,National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Basic Research Plan in Shaanxi Province| Natural Science Basic Research Plan in Shaanxi Province| Natural Science Basic Research Plan in Shaanxi Province| Natural Science Basic Research Plan in Shaanxi Province| Scientific Research Program Funded by Shaanxi Provincial Education Department| New Star Team of Xi’an University of Posts and Telecommunications| National Natural Science Foundation of China (CN)
A Rubric-Driven Evaluation of Open Data Portals and Their Data in Transportation,Iowa Department of Transportation
CorrectionEnabling an Open Data Ecosystem for the Neurosciences,NIBIB NIH HHS| NCI NIH HHS
Mental health professionals’ perceptions on patients control of data sharing:,NIMH NIH HHS
"Online period estimation and determination of rhythmicity in circadian data, using the BioDare data infrastructure",Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council| Biotechnology and Biological Sciences Research Council
Data-sharing recommendations in biomedical journals and randomised controlled trials: an audit of journals following the ICMJE recommendations.,Agence Nationale de la Recherche
Understanding urban China with open data,National Natural Science Foundation of China| National Natural Science Foundation of China| Humanities and Social Sciences
"Conducting Research with Tribal Communities: Sovereignty, Ethics, and Data-Sharing Issues",NIEHS NIH HHS| NIEHS NIH HHS
A Blockchain-Based Secret-Data Sharing Framework for Personal Health Records in Emergency Condition.,China Scholarship Council| Jiangsu province key research and development program: Social development project| Jiangsu province key research and development program: Industry outlook and common key technology projects| Project of ZTE Cooperation Research
CHI - Re-Shape: A Method to Teach Data Ethics for Data Science Education,National Science Foundation
PCS: a parity-based personal data recovery service in cloud,National Research Foundation of Korea| National Research Foundation of Korea
Comparison of privacy-protecting analytic and data-sharing methods: A simulation study.,Patient-Centered Outcomes Research Institute| NIBIB NIH HHS
"Opening Pandora’s Box: Peeking inside Psychology’s data sharing practices, and seven recommendations for change",University of Lancaster
Data sharing statements for clinical trials: a requirement of the International Committee of Medical Journal Editors.,World Health Organization
Anonymous Data Sharing Scheme in Public Cloud and Its Application in E-Health Record,"Qing Lan Project of Jiangsu Province| 1311 Talent Plan Foundation of NUPT, NUPTSF| Open Foundation of the State Key Laboratory of Information Security of China"
Progress and Challenges in Ocean Metaproteomics and Proposed Best Practices for Data Sharing,Intramural NIST DOC
Improving data sharing in research with context-free encoded missing data.,Seventh Framework Programme (BE)| Suomen Akatemia
Genomic Data-Sharing Practices.,NHGRI NIH HHS
SOCRATES: an online tool leveraging a social contact data sharing initiative to assess mitigation strategies for COVID-19.,H2020 European Research Council| H2020 European Research Council
Deposit Decision Model for Data Brokers in Distributed Personal Data Markets Using Blockchain,Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant through Korean Government [Ministry of Science and ICT (MSIT)]| Electronics and Telecommunications Research Institute (ETRI) Grant through Korean Government
Genomic research and wide data sharing: Views of prospective participants,NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NIA NIH HHS| NIA NIH HHS| NHGRI NIH HHS
To share or not to share: a randomized trial of consent for data sharing in genome research,NINDS NIH HHS| NINDS NIH HHS| NCI NIH HHS| NCI NIH HHS| NHGRI NIH HHS| NCI NIH HHS| NCI NIH HHS| NCI NIH HHS| NINDS NIH HHS| NHGRI NIH HHS
Examining Open Data at the Urban Level: An Exploration of “Wellbeing Toronto”,SSHRC
Omics Data Sharing,Wellcome Trust| Biotechnology and Biological Sciences Research Council
The case for information fiduciaries: The implementation of a data ethics checklist at Seattle Children's Hospital.,Seattle Children’s Enterprise Analytics| Andrew Carnegie Fellowship
Enabling Spatio-Temporal Search in Open Data,"Austrian Federal Ministry of Transport, Innovation and Technology (BMVIT)| Austrian Research Promotion Agency (FFG)| The Europe Center of Stanford University, United States"
Biodiversidata: A Collaborative Initiative Towards Open Data Availability in Uruguay,Agencia Nacional de Investigación e Innovación
Open Data Based Urban For-Profit Music Venues Spatial Layout Pattern Discovery,National Key Research and Development Program of China| HIT University Educational Research Project
Data sharing in low-resourced research environments,Leverhulme Trust
CHI - Metadating: Exploring the Romance and Future of Personal Data,AHRC| EPSRC
Genome Reconstruction Attacks Against Genomic Data-Sharing Beacons.,NLM NIH HHS
Between Scylla and Charybdis: reconciling competing data management demands in the life sciences.,Wellcome Trust
A Novel Workflow-Level Data Placement Strategy for Data-Sharing Scientific Cloud Workflows,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Australian Research Council| Australian Research Council| Key Natural Science Foundation of Education Bureau of Anhui Province
"ICEGOV - A Layered Architecture for Open Data: design, implementation and experiences",Horizon 2020
"Improving HIV Surveillance Data for Public Health Action in Washington, DC: A Novel Multiorganizational Data-Sharing Method",NCATS NIH HHS| NCATS NIH HHS| NCATS NIH HHS| NIAID NIH HHS| NIAID NIH HHS
Real-time Linked Dataspaces - Autonomic Source Selection for Real-time Predictive Analytics Using the Internet of Things and Open Data,The Insight Centre for Data Analytics| The Insight Centre for Data Analytics
DG.O - Using problem-based learning and learning analytics in open data education,European Commission Erasmus+ programme
Decentralized Trusted Data Sharing Management on Internet of Vehicle Edge Computing (IoVEC) Networks Using Consortium Blockchain.,The IITP (Institute of Information and Communications Technology Planning and Evaluation)| The IITP (Institute of Information and Communications Technology Planning and Evaluation)
A Survey on Personal Data Cloud,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China
Public Integrity Auditing for Dynamic Data Sharing With Multiuser Modification,National Science Foundation| Amazon AWS in Education Research Grant
National Spatial Data Infrastructure India (NSDI-India)—Present Status and the Future Strategies,"Indian Institute of Technology, Bombay"
"Regulations, Open Data and Healthcare Innovation: A Case of MSK-IMPACT and Its Implications for Better Cancer Care",Japan Society for the Promotion of Science| Japan Society for the Promotion of Science
Gap analysis on open data interconnectivity for disaster risk research,Chinese Academy of Sciences
A Collaborative Key Management Protocol in Ciphertext Policy Attribute-Based Encryption for Cloud Data Sharing,"Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Nanjing University of Posts and Telecommunications| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China"
WISCS@CCS - Managing Data Sharing in OpenStack Swift with Over-Encryption,Horizon 2020| Seventh Framework Programme
UMAP - The Role of Trust in Personal Data Sharing in the Context of e-Assessment and the Moderating Effect of Special Educational Needs,Horizon 2020
Hierarchically Authorized Transactions for Massive Internet-of-Things Data Sharing Based on Multilayer Blockchain,National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| Fundamental Research Funds for the Central Universities
BSSPD: A Blockchain-Based Security Sharing Scheme for Personal Data with Fine-Grained Access Control,Natural Science Foundation of Zhejiang Province| Natural Science Foundation of Zhejiang Province| Natural Science Foundation of Zhejiang Province| Natural Science Foundation of Zhejiang Province| Natural Science Foundation of Zhejiang Province
Benefits and barriers in the design of harmonized access agreements for international data sharing.,DH | National Institute for Health Research (NIHR)
Resting state fMRI: a personal history.,NIA NIH HHS
Systematic review of clinical trials assessing the therapeutic efficacy of visceral leishmaniasis treatments: A first step to assess the feasibility of establishing an individual patient data sharing platform.,World Health Organization
An open data repository and a data processing software toolset of an equivalent Nordic grid model matched to historical electricity market data,KTH SmarTS Lab
"The role of personal data value, culture and self-construal in online privacy behaviour.",Arts and Humanities Research Council
Exploring pathways to trust: a tribal perspective on data sharing,NHGRI NIH HHS| NIGMS NIH HHS| PHS HHS| PHS HHS
A survey on energy harvesting and integrated data sharing in wireless body area networks,Guangdong University of Petrochemical Technology’s Internal Project| Guangdong University of Petrochemical Technology’s Internal Project| Guangdong University of Petrochemical Technology’s Internal Project| Guangdong University of Petrochemical Technology’s Internal Project
Searching in CMS open data for dimuon resonances with substantial transverse momentum,U.S. Department of Energy| U.S. Department of Energy| U.S. Department of Energy| Aspen Center for Physics| Simons Foundation| H2020 European Research Council
Effects of respiratory rehabilitation on patients with novel coronavirus (COVID-19) pneumonia in the rehabilitation phase: protocol for a systematic review and meta-analysis.,Jiangsu Provincial Medical Youth Talent| Xuzhou Medical Young Talents Projects
SPDS: A Secure and Auditable Private Data Sharing Scheme for Smart Grid Based on Blockchain,National Natural Science Foundation of China| National Natural Science Foundation of China| Science and Technology Commission of Shanghai Municipality
Cybervetting job applicants on social media: the new normal?,"Canada Excellence Research Chairs, Government of Canada"
Sharing Public Health Research Data: Toward the Development of Ethical Data-Sharing Practice in Low- and Middle-Income Settings,Wellcome Trust
Evolving Government Information Processes for Service Delivery: Identifying Types & Impact,KU Leuven
Efficient Hierarchical and Time-Sensitive Data Sharing with User Revocation in Mobile Crowdsensing,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China
Are ‘pseudonymised’ data always personal data? Implications of the GDPR for administrative data research in the UK,ESRC
An Incentive Mechanism for Cross-Organization Data Sharing Based on Data Competitiveness,National Natural Science Foundation of China| National Natural Science Foundation of China| Guangxi Provincial Education Department Foundation| Guangxi Cognitive Radio and Information Processing Key Laboratory Authorized by China’s Ministry of Education Foundation| 2017 Open Foundation| Guangxi Broadband Wireless Communication and Signal Processing Key Laboratory Foundation| National Infrastructure Project| Shandong Provincial Natural Science Foundation for Young Scholars of China| Shandong Provincial Scientific Research Programs in Colleges and Universities| Open Research Fund from the Shandong Provincial Key Laboratory of Computer Network
GROUP - The Backstage Work of Data Sharing,Division of Advanced Cyberinfrastructure
CitySDK Tourism API - building value around open data,Seventh Framework Programme| Fundação para a Ciência e a Tecnologia
A descriptive analysis of the data availability statements accompanying medRxiv preprints and a comparison with their published counterparts.,National Institute for Health Research (NIHR; https://www.nihr.ac.uk/) Doctoral Research Fellowship
Conflicts and Tentative Solutions to Protecting Personal Data in Investment Arbitration,China Social Science Fund
Community-driven standards-based electronic laboratory data-sharing networks.,ODCDC CDC HHS
Open sharing of genomic data : who does it and why?,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung| Universität Zürich
"A reference open data vertical axis wind turbine, with individual pitch control, for code validation purposes",Politecnico di Milano
Observed data of extreme rainfall events over the West African Sahel.,French Ministry for Europe and Foreign Affairs| German Federal Ministry of Education and Research
WWW - PhLeGrA: Graph Analytics in Pharmacology over the Web of Life Sciences Linked Open Data,NHGRI NIH HHS
Comparison of metadata quality in open data portals using the Analytic Hierarchy Process,Horizon 2020| Austrian Research Promotion Agency
Efficient Privacy-Preserving Data Sharing for Fog-Assisted Vehicular Sensor Networks.,"Natural Science Foundation of Shaanxi Province| Fundamental Research Funds for the Central Universities, CHD"
Making network markets in education: the development of data infrastructure in Australian schooling,Australian Research Council
End-to-End Physics Event Classification with CMS Open Data: Applying Image-Based Deep Learning to Detector Data for the Direct Classification of Collision Events at the LHC,U.S. Department of Energy| U.S. Department of Energy
"Data sharing, management, use, and reuse: Practices and perceptions of scientists worldwide.",National Science Foundation
US Federal Government Efforts to Improve Clinical Trial Transparency with Expanded Trial Registries and Open Data Sharing.,NIDDK NIH HHS
Towards Increased Understanding of Open Data Use for Software Development,H2020 LEIT Information and Communication Technologies| H2020 LEIT Information and Communication Technologies
"Electronic health records, communication, and data sharing: challenges and opportunities for improving the diagnostic process.",AHRQ HHS| AHRQ HHS
COMPSAC - TIKD: A Trusted Integrated Knowledge Dataspace For Sensitive Healthcare Data Sharing,European Regional Development Fund
Consumers’ Willingness to Share Personal Data: Implications for Newspapers’ Business Models,iMinds
Quantitative Imaging Network: Data Sharing and Competitive AlgorithmValidation Leveraging The Cancer Imaging Archive.,NLM NIH HHS| NCI NIH HHS| NCI NIH HHS| NCI NIH HHS| CCR NIH HHS| NCI NIH HHS
ICSCA - Geospatial Data Sharing: Preliminary Studies on Issues and Challenges in Natural Disaster Management,"Centre for Teaching and Learning, Universiti Teknologi Malaysia"
Case identification of mental health and related problems in children and young people using the New Zealand Integrated Data Infrastructure.,"Ministry of Business, Innovation and Employment"
"Attitudes and practices of open data, preprinting, and peer-review-A cross sectional study on Croatian scientists.",University of Rijeka
How open data ecosystems are stimulated,Interreg NWE
iProX in 2021: connecting proteomics data sharing with big data.,National Key Research Program of China| Innovation special zone| Program for Guangdong Introducing Innovative and Entrepreneurial Teams| National Natural Science Foundation of China
ICBCT - Block-SMPC: A Blockchain-based Secure Multi-party Computation for Privacy-Protected Data Sharing,National Natural Science Foundation of China| Science and Technology Commission of Shanghai Municipality
Image data sharing for biomedical research--meeting HIPAA requirements for De-identification.,CCR NIH HHS| NCI NIH HHS
The iPROMOS protocol: a stepped-wedge study to implement routine patient-reported outcomes in a medical oncology outpatient setting,Queensland University of Technology| Royal Brisbane and Women’s Hospital Foundation
The PLOS ONE collection on machine learning in health and biomedicine: Towards open code and open data,NIBIB NIH HHS| NIBIB NIH HHS| NIGMS NIH HHS
Comparing open data benchmarks : Which metrics and methodologies determine countries’ positions in the ranking lists?,European Commission| European Commission| European Commission| Vetenskapsrådet| Vetenskapsrådet| Vetenskapsrådet
Data Sharing in Alzheimer’s Disease Research,This article is published under the Creative Commons Attribution Non-commercial License.
Pediatric Data Sharing in Genomic Research: Attitudes and Preferences of Parents,NLM NIH HHS| NHGRI NIH HHS| NCI NIH HHS| NLM NIH HHS| NHGRI NIH HHS
Intelligent conditional collaborative private data sharing,EU TagItSmart! Project| EU-India REACH
Patterns in research and data sharing for the study of form and function in caviomorph rodents.,Fondo Nacional de Desarrollo Científico y Tecnológico| Fondo Nacional de Desarrollo Científico y Tecnológico
"Privacy, Trust, and Data Sharing in Web-Based and Mobile Research: Participant Perspectives in a Large Nationwide Sample of Men Who Have Sex With Men in the United States.",NIDA NIH HHS| NIDA NIH HHS
Computational CAM: studying children and media in the age of big data,Northeastern University
Urgent need for a data sharing platform to promote ecological research in China,National Key Research and Development Plan| National Natural Science Foundation of China| Key Project in the National Science and Technology Pillar Program of China
A Research Agenda on Open Data Impact Process for Open Innovation,"Ministerio de Ciencia, Innovación y Universidades| Rey Juan Carlos University"
Blockchain Based IIoT Data Sharing Framework for SDN-Enabled Pervasive Edge Computing,Key R&amp;D Program in Key Areas of Guangdong Province| Key R&amp;D Program in Key Areas of Guangdong Province| Industrial Internet Innovation and Development Project| Guangzhou Key Industrial Technology Project
Moving forward from rhBMP-2: open science and data sharing.,NIA NIH HHS| NHLBI NIH HHS| NHLBI NIH HHS
Global open data in agriculture and nutrition (Godan) initiative partner network analysis,"Department for International Development, UK Government| Ministry of Economic Affairs, Dutch Government| U.S. Department of Agriculture| Food and Agriculture Organization of the United Nations"
Conference on Designing Interactive Systems (Companion Volume) - Designing for Sharing and Trust: Opening the Access to Personal Data,H2020 Marie Sk?odowska-Curie Actions
Efficient pairing-free PRE schemes for multimedia data sharing in IoT,Scientific Research Fund of Hunan Provincial Education Department| Foundation of National Natural Science of China| Guangdong Province Natural Science Foundation of major basic research and Cultivation project| Project of Ordinary University Innovation Team Construction of Guangdong Province| Basic Research Major Projects of Department of education of Guangdong Province| Collaborative Innovation Major Projects of Bureau of Education of Guangzhou City
Secure server-aided data sharing clique with attestation,Natural Science Foundation of Guangxi Zhuang Autonomous Region| Foundation of Science and Technology on Information Assurance Laboratory| National Natural Science Foundation of China| National Research Foundation Singapore
Study protocol for a cohort study of patients with advanced heart failure in Singapore,Health Services Research Competitive Research Grant
Win-win data sharing in neuroscience.,NINDS NIH HHS| NINDS NIH HHS
Data Science for Geoscience: Leveraging Mathematical Geosciences with Semantics and Open Data,International Association of Mathematical Geosciences
WebCloud: Web-Based Cloud Storage for Secure Data Sharing across Platforms,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Beijing Municipal Science and Technology Project| Beijing Municipal Science and Technology Project| Key Research Project of Zhejiang Province| Key Research Project of Zhejiang Province
"Data availability, reusability, and analytic reproducibility: evaluating the impact of a mandatory open data policy at the journal Cognition",Laura and John Arnold Foundation| National Science Foundation
The Challenges of Big Data for Research Ethics Committees: A Qualitative Swiss Study.,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
A funder-imposed data publication requirement seldom inspired data sharing,Exxon Valdez Oil Spill Trustee Council
Reproducible and reusable research: are journal data sharing policies meeting the mark?,National Institutes of Health| National Institutes of Health
Cost-Effective Authentic and Anonymous Data Sharing with Forward Security,"National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Department of Education, Fujian Province| Ministry of Education of China| Fujian Normal University Innovative Research Team| Natural Science Foundation of Fujian Province| Fok Ying Tung Education Foundation"
Review and Perspectives on Data Sharing and Privacy in Expanding Electricity Access,Directorate for Computer and Information Science and Engineering
A Secure and Lightweight Fine-Grained Data Sharing Scheme for Mobile Cloud Computing.,National Natural Science Foundation of China| Guangxi Key Laboratory of Cryptography and Information Security| Natural Science Foundation of Zhejiang Province| the Opening Project of Guangdong Provincial Key Laboratory of Information Security Technology| the Department of Education of Zhejiang Province of China| the Key Research Project of Zhejiang Province
An empirical meta-analysis of the life sciences linked open data on the web,U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences (NIGMS)| U.S. Department of Health &amp; Human Services | NIH | National Human Genome Research Institute (NHGRI)| U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences (NIGMS)
International data-sharing for radiotherapy research: An open-source based infrastructure for multicentric clinical data mining,NCI NIH HHS| NCI NIH HHS
Life-swap: how discussions around personal data can motivate desire for change,Engineering and Physical Sciences Research Council
Key Implications of Data Sharing in Pediatric Genomics,CIHR| NHGRI NIH HHS
An Open Data Platform for Traffic Parameters Measurement via Multirotor Unmanned Aerial Vehicles Video,Ministry of Science and Technology of the People’s Republic of China
Blockchain-Enabled Secure Data Sharing Scheme in Mobile-Edge Computing: An Asynchronous Advantage Actor–Critic Learning Approach,National Key Research and Development Program of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| key Research and Development plan of Shaanxi province| key Research and Development plan of Shaanxi province| Japan Society for the Promotion of Science KAKENHI Grant
Understanding the Spatial Effects of Unaffordable Housing Using the Commuting Patterns of Workers in the New Zealand Integrated Data Infrastructure,"Ministry of Business, Innovation and Employment"
The effect of kinship in re-identification attacks against genomic data sharing beacons,NLM NIH HHS
Secure Data Sharing: Blockchain enabled Data Access Control Framework for IoT,key science and technology projects of State Grid Corporation of China
CSCW - “This has to be the cats”: Personal Data Legibility in Networked Sensing Systems,Engineering and Physical Sciences Research Council
From Rosalind Franklin to Barack Obama: Data Sharing Challenges and Solutions in Genomics and Personalised Medicine.,Medical Research Council
Revolutionizing Precision Oncology through Collaborative Proteogenomics and Data Sharing,Intramural NIH HHS
An agenda-setting paper on data sharing platforms: euCanSHare workshop,Horizon 2020 Framework Programme| Horizon 2020 Framework Programme| Horizon 2020 Framework Programme| Horizon 2020 Framework Programme
DG.O - Protection and preservation of campania cultural heritage engaging local communities via the use of open data,Horizon 2020
Data Sharing in the Undiagnosed Diseases Network,NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS
Predicting the impact of urban flooding using open data,Engineering and Physical Sciences Research Council
Reliable Policy Updating under Efficient Policy Hidden Fine-grained Access Control Framework for Cloud Data Sharing,AXA Research Fund and the Singapore National Research Foundation Cybersecurity RD| Key project of Anhui provincial department of education| National Natural Science Foundation of China
The political economy of spatial data infrastructures,"CONACYT – UC MEXUS| University of California, Los Angeles"
Trustworthy Blockchain-Empowered Collaborative Edge Computing-as-a-Service Scheduling and Data Sharing in the IIoE,Yunnan Applied Basic Research Projects| Major scientific and technological projects in Yunnan Province| Yunnan Young Top Talents of Ten Thousands Plan| National Natural Science Foundation of China
PDGuard: an architecture for the control and secure processing of personal data,H2020 European Research Council
A Secure and Lightweight Data Sharing Scheme for Internet of Medical Things,National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Shandong Province
R²PEDS : A Recoverable and Revocable Privacy-Preserving Edge Data Sharing Scheme,National Key Research and Development Project| Fundamental Research Funds for the Central Universities| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Chongqing Research Program of Basic Research and Frontier Technology| Chongqing Research Program of Basic Research and Frontier Technology| Key Project of Technology Innovation and Application Development of Chongqing| Overseas Returnees Innovation and Entrepreneurship Support Program of Chongqing| Deanship of Scientific Research at Prince Sattam Bin Abdulaziz University
"Clinical trial transparency and data sharing among biopharmaceutical companies and the role of company size, location and product type: a cross-sectional descriptive analysis.",NHLBI NIH HHS| AHRQ HHS| AHRQ HHS| FDA HHS
