title,funders
Trust  Identity  Privacy  and Security Considerations for Designing a Peer Data Sharing Platform Between People Living With HIV,EPSRC
Developing Ethical Practices for Public Health Research Data Sharing in South Africa: The Views and Experiences From a Diverse Sample of Research Stakeholders.,Wellcome Trust
Between “the best way to deliver patient care” and “chaos and low clinical value”: General Practitioners’ and Practice Managers’ views on data sharing,Department of Health
"What does it mean for a data subject to make their personal data ""manifestly public""? An analysis of GDPR Article 9(2)(e)",Engineering and Physical Sciences Research Council
Neuroimaging  Genetics  and Clinical Data Sharing in Python Using the CubicWeb Framework,Medical Research Council
Perceived Benefits  Harms  and Views About How to Share Data Responsibly A Qualitative Study of Experiences With and Attitudes Toward Data Sharing Among Research Staff and Community Representatives in Thailand,Wellcome Trust
Improved spatial ecological sampling using open data and standardization: an example from malaria mosquito surveillance,Medical Research Council
High-quality science requires high-quality open data infrastructure,Biotechnology and Biological Sciences Research Council
Prevalence and geographical variation of dementia in New Zealand from 2012 to 2015: Brief report utilising routinely collected data within the Integrated Data Infrastructure.,Biotechnology and Biological Sciences Research Council| Medical Research Council Supplementary Travel Grant| Alzheimer Scotland| Medical Research Council (MRC) UK
Data sharing and the evolving role of statisticians.,Medical Research Council
Data sharing in genomics - re-shaping scientific practice,Wellcome Trust
