title,year published,funders
On the evolving portfolio of community-standards and data sharing policies: turning challenges into new opportunities.,2012,Biotechnology and Biological Sciences Research Council
Public attitudes in England towards the sharing of personal data following a mass casualty incident: a cross-sectional study,2018,Department of Health
Opt-in method is vital for data sharing.,2016,Medical Research Council
Optimizing primary care research participation: a comparison of three recruitment methods in data-sharing studies,2016,Department of Health
Data sharing in neuroimaging research,2012,NIMH NIH HHS| NICHD NIH HHS| Wellcome Trust
Conference on Designing Interactive Systems (Companion Volume) - People  Personal Data and the Built Environment,2017,Engineering and Physical Sciences Research Council| The University of Nottingham
Including all voices in international data-sharing governance.,2018,Medical Research Council| NHGRI NIH HHS| Wellcome Trust
Building a data sharing model for global genomic research,2014,NCRR NIH HHS| NCI NIH HHS| Wellcome Trust
"Opening a ""Can of Worms"" to Explore the Public's Hopes and Fears About Health Care Data Sharing: Qualitative Study.",2021,British Heart Foundation
The promotion of data sharing in pharmacoepidemiology,2014,Medical Research Council| Wellcome Trust
Are clinical trial data shared sufficiently today? No,2013,Wellcome Trust
Accelerating the Evolution of Nonhuman Primate Neuroimaging,2020,"Medical Research Council| NIMH NIH HHS| National Centre for the Replacement, Refinement and Reduction of Animals in Research| NIH HHS| NINDS NIH HHS| Wellcome Trust"
Improving data sharing between acute hospitals in England: an overview of health record system distribution and retrospective observational analysis of inter-hospital transitions of care.,2019,Department of Health
Data management and sharing policy: the first step towards promoting data sharing,2019,Wellcome Trust
CAN@CoNEXT - Personal Data Management with the Databox: What's Inside the Box?,2016,Engineering and Physical Sciences Research Council| Seventh Framework Programme
FACT: a randomised controlled trial to assess the feasibility of QbTest in the assessment process of attention deficit hyperactivity disorder (ADHD) for young people in prison -a feasibility trial protocol,2020,Department of Health
Adaptive Architecture and Personal Data,2019,Engineering and Physical Sciences Research Council| The University of Nottingham
Advancing good governance in data sharing and biobanking - international aspects.,2019,Wellcome Trust
A systematic review of barriers to data sharing in public health,2014,NIGMS NIH HHS| Wellcome Trust
Ethical and practical issues to consider in the governance of genomic and human research data and data sharing in South Africa: a meeting report.,2019,NHGRI NIH HHS| Wellcome Trust
ENIGMA MDD: seven years of global neuroimaging studies of major depression through worldwide data sharing,2020,Medical Research Council| NIMH NIH HHS| NCCIH NIH HHS| Department of Health | National Health and Medical Research Council (NHMRC)| NIBIB NIH HHS| NCRR NIH HHS| Wellcome Trust
Equitable data sharing in epidemics and pandemics.,2021,University of Melbourne| Wellcome Trust
The Bermuda Triangle: The Pragmatics  Policies  and Principles for Data Sharing in the History of the Human Genome Project.,2018,National Human Genome Research Institute (US)| NHGRI NIH HHS| NCI NIH HHS| Wellcome Trust
SACMAT - Enabling Data Sharing in Contextual Environments: Policy Representation and Analysis,2017,Engineering and Physical Sciences Research Council| Seventh Framework Programme
Data sharing policy design for consortia: challenges for sustainability.,2014,Wellcome Trust
Sweat  Skepticism  and Uncharted Territory: A Qualitative Study of Opinions on Data Sharing Among Public Health Researchers and Research Participants in Mumbai  India.,2015,Wellcome Trust
The ethics of data sharing and biobanking in health research.,2020,Medical Research Council| National Institutes of Health| Bill and Melinda Gates Foundation| Wellcome Trust
Development Research at High Geographic Resolution: An Analysis of Night-Lights  Firms  and Poverty in India Using the SHRUG Open Data Platform,2021,"Department for International Development, UK Government| IGC"
Spatial urban data system: a cloud-enabled big data infrastructure for social and economic urban analytics,2019,Economic and Social Research Council
A study protocol of qualitative data sharing practices in clinical trials in the UK and Ireland: towards the production of good practice guidance.,2021,Medical Research Council
"IDC - ""It's your private information. it's your life."": young people's views of personal data use by online technologies",2020,Engineering and Physical Sciences Research Council
The Privacy and Security Implications of Open Data in Healthcare.,2018,Medical Research Council
Trust  Identity  Privacy  and Security Considerations for Designing a Peer Data Sharing Platform Between People Living With HIV,2020,EPSRC
Developing Ethical Practices for Public Health Research Data Sharing in South Africa: The Views and Experiences From a Diverse Sample of Research Stakeholders.,2015,Wellcome Trust
Between “the best way to deliver patient care” and “chaos and low clinical value”: General Practitioners’ and Practice Managers’ views on data sharing,2017,Department of Health
"What does it mean for a data subject to make their personal data ""manifestly public""? An analysis of GDPR Article 9(2)(e)",2021,Engineering and Physical Sciences Research Council
Neuroimaging  Genetics  and Clinical Data Sharing in Python Using the CubicWeb Framework,2017,Medical Research Council
Perceived Benefits  Harms  and Views About How to Share Data Responsibly A Qualitative Study of Experiences With and Attitudes Toward Data Sharing Among Research Staff and Community Representatives in Thailand,2015,Wellcome Trust
Improved spatial ecological sampling using open data and standardization: an example from malaria mosquito surveillance,2019,Medical Research Council
High-quality science requires high-quality open data infrastructure,2018,Biotechnology and Biological Sciences Research Council
Global eye health and the sustainable development goals: protocol for a scoping review,2020,Wellcome Trust
Prevalence and geographical variation of dementia in New Zealand from 2012 to 2015: Brief report utilising routinely collected data within the Integrated Data Infrastructure.,2020,Medical Research Council (MRC) UK| Medical Research Council Supplementary Travel Grant| Alzheimer Scotland| Biotechnology and Biological Sciences Research Council
Data sharing and the evolving role of statisticians.,2016,Medical Research Council
SIGMOD Conference - Querying Shared Data with Security Heterogeneity,2020,ERC| EPSRC| Royal Society Wolfson Research Merit Award
The EBI RDF Platform: Linked Open Data for the Life Sciences,2014,NHGRI NIH HHS| Biotechnology and Biological Sciences Research Council
Analyzing large Alzheimer's disease cognitive datasets: Considerations and challenges.,2020,Medical Research Council
myChEMBL: a virtual machine implementation of open data and cheminformatics tools,2013,Wellcome Trust
Including Digital Sequence Data in the Nagoya Protocol Can Promote Data Sharing,2020,Wellcome Trust
Real-time Epidemic Forecasting: Challenges and Opportunities,2019,Medical Research Council
Transmission of paediatric respiratory syncytial virus and influenza in the wake of the COVID-19 pandemic.,2021,Wellcome Trust
Predicting the risk of asthma attacks in children  adolescents and adults: protocol for a machine learning algorithm derived from a primary care-based retrospective cohort.,2020,Medical Research Council
CHI Extended Abstracts - My Life On Film,2016,Engineering and Physical Sciences Research Council
KYChain: User-Controlled KYC Data Sharing and Certification.,2020,Engineering and Physical Sciences Research Council
Role of a regulatory and governance framework in human biological materials and data sharing in National Biobanks: Case studies from Biobank Integrating Platform  Taiwan and the National Biorepository  Uganda.,2019,Medical Research Council| National Institutes of Health| Bill and Melinda Gates Foundation| Wellcome Trust
Bermuda 2.0 : reflections from Santa Cruz,2016,Wellcome Trust
WorldPop  open data for spatial demography,2017,NIAID NIH HHS| Wellcome Trust
Minimum Information about a Cardiac Electrophysiology Experiment (MICEE): Standardised reporting for model reproducibility  interoperability  and data sharing,2011,Medical Research Council| NIGMS NIH HHS| NHLBI NIH HHS| NHGRI NIH HHS| British Heart Foundation
Demonstrating trustworthiness when collecting and sharing genomic data: public views across 22 countries.,2021,Wellcome Trust
Institutions  infrastructures  and data friction – reforming secondary use of health data in Finland,2019,Economic and Social Research Council
From genomic databases to translation: a call to action,2011,Medical Research Council
Balancing the local and the universal in maintaining ethical access to a genomics biobank,2017,Medical Research Council| Scottish Funding Council| Chief Scientist Office| Wellcome Trust
Using home sensing technology to assess outcome and recovery after hip and knee replacement in the UK: the HEmiSPHERE study protocol,2018,Engineering and Physical Sciences Research Council
A bespoke mobile application for the longitudinal assessment of depression and mood during pregnancy: protocol of a feasibility study,2017,National Institute for Health Research| ADAPT Centre
FAIR and open multilingual clinical trials in Wikidata and Wikipedia,2021,Wellcome Trust
Governance Through Privacy  Fairness  and Respect for Individuals,2016,Wellcome Trust
Data Sharing Advances Rare and Neglected Disease Clinical Research and Treatments.,2019,Wellcome Trust
CHI - Why Do You Need This?: Selective Disclosure of Data Among Citizen Scientists,2019,Engineering and Physical Sciences Research Council
Members of the public in the USA  UK  Canada and Australia expressing genetic exceptionalism say they are more willing to donate genomic data,2019,Wellcome Trust (Wellcome)| Wellcome Trust
ClinGen advancing genomic data-sharing standards as a GA4GH driver project.,2018,NHGRI NIH HHS| NIH HHS| CIHR| Wellcome Trust
Is smart scary? A mixed-methods study on privacy in smart tourism,2021,Engineering and Physical Sciences Research Council
Sharing data from clinical trials: the rationale for a controlled access approach.,2015,Medical Research Council
Heritage connector: A machine learning framework for building linked open data from museum collections,2021,Arts and Humanities Research Council
Study protocol for a multicentre longitudinal mixed methods study to explore the Outcomes of ChildrEn and fAmilies in the first year after paediatric Intensive Care: the OCEANIC study,2020,Department of Health
Genetic architecture of paediatric renal diseases in China and the need for data sharing.,2020,Medical Research Council
CHI - Accountable: Exploring the Inadequacies of Transparent Financial Practice in the Non-Profit Sector,2016,Engineering and Physical Sciences Research Council
Protocol for a gender-sensitised weight loss and healthy living programme for overweight and obese men delivered in Australian football league settings (Aussie-FIT): A feasibility and pilot randomised controlled trial.,2018,Medical Research Council| Department of Health| Chief Scientist Office
Protecting Personal Data in Epidemiological Research: DataSHIELD and UK Law,2014,Medical Research Council
Implementing a successful data-management framework: the UK10K managed access model.,2013,Wellcome Trust
Real-time digital pathogen surveillance — the time is now,2015,Medical Research Council
Best Practices for Ethical Sharing of Individual-Level Health Research Data From Low- and Middle-Income Settings.,2015,Medical Research Council| Wellcome Trust
Precompetitive Data Sharing as a Catalyst to Address Unmet Needs in Parkinson’s Disease,2015,NINDS NIH HHS| Parkinson's UK| NIBIB NIH HHS
A cluster randomised controlled trial of advice  exercise or multifactorial assessment to prevent falls and fractures in community-dwelling older adults: protocol for the prevention of falls injury trial (PreFIT),2016,Department of Health
ELIXIR-EXCELERATE: establishing Europe's data infrastructure for the life science research of the future.,2021,Biotechnology and Biological Sciences Research Council
Clinical trial data reuse - overcoming complexities in trial design and data sharing.,2019,Medical Research Council
Exploring the roles of men and masculinities in abortion and emergency contraception pathways  Ghana: a mobile phone-based mixed-methods study protocol.,2021,Economic and Social Research Council
Obtaining and managing data sets for individual participant data meta-analysis: scoping review and practical guide.,2020,Medical Research Council| Marie Curie| CIHR
Care in Specialized Centers and Data Sharing Increase Agreement in Hypertrophic Cardiomyopathy Genetic Test Interpretation,2017,Medical Research Council
Involving Research Stakeholders in Developing Policy on Sharing Public Health Research Data in Kenya: Views on Fair Process for Informed Consent  Access Oversight  and Community Engagement.,2015,Wellcome Trust
Toward standard practices for sharing computer code and programs in neuroscience,2017,NIBIB NIH HHS| Wellcome Trust
Longitudinal multi-centre brain imaging studies: guidelines and practical tips for accurate and reproducible imaging endpoints and data sharing,2019,Medical Research Council
Beyond open data: realising the health benefits of sharing data,2016,Wellcome Trust
“Matching” Consent to Purpose: The Example of the Matchmaker Exchange,2017,NHGRI NIH HHS| CIHR| Wellcome Trust
Protocol for a prospective longitudinal study of risk factors for hypertension incidence in a Mexico City population: the Tlalpan 2020 cohort.,2017,AstraZeneca| Consejo Nacional de Ciencia y Tecnología
An open toolkit for tracking open science partnership implementation and impact.,2019,Wellcome Trust
An open data ecosystem for cell migration research,2014,Cancer Research UK| Wellcome Trust
Identity at the margins: data justice and refugee experiences with digital identity systems in Lebanon  Jordan  and Uganda,2020,National Science Foundation| Department for International Development
Accessing Online Data for Youth Mental Health Research: Meeting the Ethical Challenges,2017,Economic and Social Research Council
UK publicly funded Clinical Trials Units supported a controlled access approach to share individual participant data but highlighted concerns.,2015,Medical Research Council
International severe asthma registry (ISAR) : protocol for a global registry,2020,AstraZeneca| Optimum Patient Care
"Conference on Designing Interactive Systems - ""Proof in the Pudding"": Designing IoT Plants to Promote Wellbeing",2017,Research Councils UK
Views of healthcare professionals to linkage of routinely collected healthcare data: a systematic literature review,2013,Chief Scientist Office
Consent insufficient for data release-Response.,2019,Biotechnology and Biological Sciences Research Council
Towards Principles-Based Approaches to Governance of Health-Related Research Using Personal Data,2013,Medical Research Council| Wellcome Trust
The COMPARE Data Hubs,2019,Medical Research Council
Linked health data for pharmacovigilance in children: perceived legal and ethical issues for stakeholders and data guardians,2014,Chief Scientist Office
‘I haven’t met them  I don’t have any trust in them. It just feels like a big unknown’: a qualitative study exploring the determinants of consent to use Human Fertilisation and Embryology Authority registry data in research,2019,Medical Research Council
Is useful research data usually shared? An investigation of genome-wide association study summary statistics,2020,Medical Research Council
Don't Take It Personal: European Union Legal Aspects of Procuring and Protecting Environmental Exposure Data in Population Biobanks Through the Use of a Geo-Information-Systems Toolkit,2016,Medical Research Council
Media content analysis of general practitioners' reactions to care.data expressed in the media: what lessons can be learned for future NHS data-sharing initiatives?,2020,Medical Research Council| Chief Scientist Office| Wellcome Trust
Computable Information Governance Contracts.,2017,Medical Research Council
A sea of standards for omics data: sink or swim?,2013,NCRR NIH HHS| HSRD VA| NIH HHS| Biotechnology and Biological Sciences Research Council
Facilitating a culture of responsible and effective sharing of cancer genome data.,2016,NHGRI NIH HHS| NCI NIH HHS| Howard Hughes Medical Institute| Cancer Research UK
Care-experienced cHildren and young people’s Interventions to improve Mental health and wEll-being outcomes: Systematic review (CHIMES) protocol,2021,Medical Research Council| Department of Health
Identifiability and Privacy in Pluripotent Stem Cell Research,2014,Intramural NIH HHS| Medical Research Council| Wellcome Trust
We need to think about data governance for dementia research in a digital era.,2020,Medical Research Council| Wellcome Trust
Decade in review-multiple sclerosis: new drugs and personalized medicine for multiple sclerosis.,2015,Medical Research Council
Challenges of Open Data Quality: More Than Just License  Format  and Customer Support,2017,EPSRC| Innovate UK
Data for sale: trust  confidence and sharing health data with commercial companies.,2021,Wellcome| UK Research and Innovation
DataSHIELD: an ethically robust solution to multiple-site individual-level data analysis.,2014,Medical Research Council| Wellcome Trust
Data sharing: experience of accessing individual patient data from completed randomised controlled trials in vascular and cognitive medicine.,2020,Medical Research Council
The challenges and opportunities of mental health data sharing in the UK.,2021,Medical Research Council| Department of Health
SAFETEL randomised controlled feasibility trial of a safety planning intervention with follow-up telephone contact to reduce suicidal behaviour: study protocol,2019,Medical Research Council| Chief Scientist Office
Open data for drug discovery: learning from the biological community.,2012,Wellcome Trust
Beyond trust: Amplifying unheard voices on concerns about harm resulting from health data-sharing:,2021,European Union’s Horizon 2020 research| Newcastle University Academic-Track Fellowship| EUCAN-Connect| Department of Health
Mensch &amp; Computer - Unconsented data transfusions: attitudes towards extracting personal device data for public health emergencies,2020,EPSRC
Opening up: open access publishing  data sharing  and how they can influence your neuroscience career.,2016,Alzheimer's Society
Scalable privacy-preserving data sharing methodology for genome-wide association studies.,2014,NCRR NIH HHS| NCATS NIH HHS| Wellcome Trust
Dataset search: a survey,2019,Alan Turing Institute| Engineering and Physical Sciences Research Council| Horizon 2020 Framework Programme
A balance of trust in the use of government administrative data,2017,Economic and Social Research Council
ECDP - Bringing Open Data to Whole Slide Imaging.,2019,Biotechnology and Biological Sciences Research Council| Wellcome Trust
Views of Ethical Best Practices in Sharing Individual-Level Data From Medical and Public Health Research: A Systematic Scoping Review,2015,Wellcome Trust
Anonymization Through Data Synthesis Using Generative Adversarial Networks (ADS-GAN),2020,Medical Research Council| Department of Health| Wellcome Trust
International Data Sharing in Practice: New Technologies Meet Old Governance.,2016,Medical Research Council
Open Area  Open Data: Advances in Reflexive Archaeological Practice,2021,McDonald Institute for Archaeological Research| Cosmote| Cyprus Institute| Packard Humanities Institute| A.G. Leventis Foundation| National Geographic Society| British School at Athens| Blue Star Ferries| Stavros Niarchos Foundation| Society of Antiquaries of London| British Academy| AIGEAS-AMKE| EZ-dot| Institute for Aegean Prehistory| Research and Innovation Foundation
CitiFog@SenSys - Providing Occupancy as a Service with Databox,2018,Engineering and Physical Sciences Research Council
Data/infrastructure in the smart city: Understanding the infrastructural power of Citymapper app through technicity of data:,2020,Economic and Social Research Council
An open dataset of Plasmodium falciparum genome variation in 7 000 worldwide samples,2021,Medical Research Council| NCATS NIH HHS| NIAID NIH HHS| World Health Organization| Wellcome Trust
NeuroChaT: A toolbox to analyse the dynamics of neuronal encoding in freely-behaving rodents in vivo.,2019,Wellcome Trust
How might technology rise to the challenge of data sharing in agri-food?,2021,Engineering and Physical Sciences Research Council
Resources available for autism research in the big data era: a systematic review.,2017,Medical Research Council
Towards linked open gene mutations data.,2012,Biotechnology and Biological Sciences Research Council
CHI - Better the Devil You Know: Exposing the Data Sharing Practices of Smartphone Apps,2017,National Science Foundation| EPSRC
Period Estimation and Rhythm Detection in Timeseries Data Using BioDare2  the Free  Online  Community Resource.,2021,Biotechnology and Biological Sciences Research Council| Wellcome Trust
Increasing best practice data sharing at PLOS Pathogens,2021,Wellcome Trust
Digital phenotyping and sensitive health data: Implications for data governance.,2021,GlaxoSmithKline and Engineering and Physical Sciences Research Council| Embiricos Trust Scholarship of Jesus College Cambridge and the Engineering and Physical Sciences Research Council| The Alan Turing Institute| Wellcome Trust
Orchestrating privacy-protected big data analyses of data from different resources with R and DataSHIELD,2021,Medical Research Council| Wellcome Trust
On the Reliable Generation of 3D City Models from Open Data,2020,Leverhulme Trust
Guiding interoperable electronic health records through patient-sharing networks,2018,Engineering and Physical Sciences Research Council| DH | National Institute for Health Research
Algorithms that remember: model inversion attacks and data protection law.,2018,Arts and Humanities Research Council| Engineering and Physical Sciences Research Council
Updating the guidelines for data transparency in the British Journal of Pharmacology - data sharing and the use of scatter plots instead of bar charts.,2017,British Heart Foundation
Personal Genome Project UK (PGP-UK): a research and citizen science hybrid project in support of personalized medicine,2018,Medical Research Council| Department of Health| Wellcome Trust
Improving the Transparency of Prognosis Research: The Role of Reporting  Data Sharing  Registration  and Protocols,2014,Medical Research Council| Department of Health| Versus Arthritis| Arthritis Research UK| Cancer Research UK| British Heart Foundation| NINDS NIH HHS| Wellcome Trust
Oceanids C2: An Integrated Command  Control  and Data Infrastructure for the Over-the-Horizon Operation of Marine Autonomous Systems,2020,Natural Environment Research Council
Considerations for an integrated population health databank in Africa: lessons from global best practices,2021,Wellcome Trust
CHI - ThinkActive: Designing for Pseudonymous Activity Tracking in the Classroom,2018,EPSRC
Neighbourhood Data: Exploring the Role of Open Data in Locally Devolved Policymaking Processes,2018,Engineering and Physical Sciences Research Council
The Protein Data Bank archive as an open data resource,2014,Medical Research Council| NLM NIH HHS| NIGMS NIH HHS| Biotechnology and Biological Sciences Research Council| Wellcome Trust
Enhancing data privacy with semantic trajectories: A raster‐based framework for GPS stop/move management,2018,Innovate UK
Protocol for a feasibility trial to inform the development of a breathlessness rehabilitation programme for chronic obstructive pulmonary disease and chronic heart failure (the COHERE trial).,2019,Department of Health
Seafloor Mapping – the challenge of a truly global ocean bathymetry,2019,Natural Environment Research Council| Horizon 2020 Framework Programme
Protocol for a scoping review to support development of a CONSORT extension for randomised controlled trials using cohorts and routinely collected health data,2018,Medical Research Council| CIHR| Wellcome Trust
Orchestrating Single-Cell Analysis with Bioconductor,2019,Cancer Research UK (CRUK)| U.S. Department of Health &amp; Human Services ǀ NIH ǀ National Cancer Institute (NCI)| Wellcome Trust (Wellcome)| NHGRI NIH HHS| U.S. Department of Health &amp; Human Services ǀ NIH ǀ National Human Genome Research Institute (NHGRI)| NCI NIH HHS| Wellcome Trust
Multicentre individual randomised controlled trial of screening and brief alcohol intervention to prevent risky drinking in young people aged 14-15 in a high school setting (SIPS JR-HIGH): study protocol.,2016,Medical Research Council| Department of Health
CHI - Getting Something for Nothing?: A User-Centric Perspective on Loyalty Card Schemes,2017,Engineering and Physical Sciences Research Council
htsget: a protocol for securely streaming genomic data.,2018,Wellcome Trust
The trust gap: Social perceptions of privacy data for energy services in the United Kingdom,2020,Engineering and Physical Sciences Research Council
Living with interpersonal data: Observability and accountability in the age of pervasive ICT:,2017,Engineering and Physical Sciences Research Council| Seventh Framework Programme
General data protection regulation: What does this mean for research?,2020,National Institute for Health Research
Establishing a framework for Open Geographic Information science,2016,Economic and Social Research Council
AIES - Privacy-Preserving Machine Learning Based Data Analytics on Edge Devices,2018,Engineering and Physical Sciences Research Council
Curation of an intensive care research dataset from routinely collected patient data in an NHS trust.,2019,Engineering and Physical Sciences Research Council| Above and Beyond
Classification and characterisation of brain network changes in chronic back pain: A multicenter study.,2018,Versus Arthritis| Wellcome Trust
Why Cochrane should prioritise sharing data,2018,Medical Research Council
Public Preferences regarding Data Linkage for Health Research: A Discrete Choice Experiment.,2018,Medical Research Council
Federated discovery and sharing of genomic data using Beacons.,2019,NHGRI NIH HHS| Wellcome Trust
Psychological Determinants of Consumer Acceptance of Personalised Nutrition in 9 European Countries,2014,Medical Research Council
Optimizing peer review to minimize the risk of retracting COVID-19-related literature.,2020,Wellcome Trust
The ProteoRed MIAPE web toolkit: A user-friendly framework to connect and share proteomics standards,2011,Biotechnology and Biological Sciences Research Council
The risk of re-identification versus the need to identify individuals in rare disease research,2016,Medical Research Council
METACOHORTS for the study of vascular disease and its contribution to cognitive decline and neurodegeneration: An initiative of the Joint Programme for Neurodegenerative Disease Research,2016,Medical Research Council| NIA NIH HHS| NINDS NIH HHS| CIHR
Using Centrally Held Data to Validate Carotid Surgery Outcome Data,2013,Wellcome Trust
From ArrayExpress to BioStudies.,2020,Wellcome Trust
Evidence-informed urban health and sustainability governance in two Chinese cities.,2021,Wellcome Trust
Sharing and reuse of individual participant data from clinical trials: principles and recommendations,2017,Medical Research Council| World Health Organization
Electronic data capture for large scale typhoid surveillance  household contact tracing  and health utilisation survey: Strategic Typhoid Alliance across Africa and Asia,2020,Wellcome Trust
CARGO: effective format-free compressed storage of genomic information.,2016,Biotechnology and Biological Sciences Research Council
PervasiveHealth - Computing and mental health: intentionality and reflection at the click of a button,2017,EPSRC
Improving Reproducibility and Candidate Selection in Transcriptomics Using Meta-analysis.,2018,Wellcome Trust
Comparison of two independent systematic reviews of trials of recombinant human bone morphogenetic protein-2 (rhBMP-2): the Yale Open Data Access Medtronic Project.,2017,NHLBI NIH HHS| Medical Research Council| NCATS NIH HHS| NIA NIH HHS
Rethinking the ethical principles of genomic medicine services.,2019,Wellcome Trust (Wellcome)| Wellcome Trust
Public reporting of outcomes in radiation oncology: the National Prostate Cancer Audit.,2021,Department of Health
