title,year published,funders
A Novel Workflow-Level Data Placement Strategy for Data-Sharing Scientific Cloud Workflows,2019,National Natural Science Foundation of China| Key Natural Science Foundation of Education Bureau of Anhui Province| Australian Research Council
Multicenter data sharing for collaboration in sleep medicine,2017,German Federal Ministry of Education and Research| Berlin Institute for Applied Research (QM ROCT): IFAFQMROCT| German Federal Ministry of Economic Affairs and Energy
Real-time Linked Dataspaces - Autonomic Source Selection for Real-time Predictive Analytics Using the Internet of Things and Open Data,2019,The Insight Centre for Data Analytics
DG.O - Using problem-based learning and learning analytics in open data education,2018,European Commission Erasmus+ programme
Decentralized Trusted Data Sharing Management on Internet of Vehicle Edge Computing (IoVEC) Networks Using Consortium Blockchain.,2021,The IITP (Institute of Information and Communications Technology Planning and Evaluation)
Public Integrity Auditing for Dynamic Data Sharing With Multiuser Modification,2015,National Science Foundation| Amazon AWS in Education Research Grant
National Spatial Data Infrastructure India (NSDI-India)—Present Status and the Future Strategies,2018,"Indian Institute of Technology, Bombay"
A Collaborative Key Management Protocol in Ciphertext Policy Attribute-Based Encryption for Cloud Data Sharing,2017,"Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Nanjing University of Posts and Telecommunications| National Natural Science Foundation of China"
BSSPD: A Blockchain-Based Security Sharing Scheme for Personal Data with Fine-Grained Access Control,2021,Natural Science Foundation of Zhejiang Province
Benefits and barriers in the design of harmonized access agreements for international data sharing.,2019,DH | National Institute for Health Research (NIHR)
An open data repository and a data processing software toolset of an equivalent Nordic grid model matched to historical electricity market data,2017,KTH SmarTS Lab
The role of personal data value  culture and self-construal in online privacy behaviour.,2021,Arts and Humanities Research Council
Exploring pathways to trust: a tribal perspective on data sharing,2014,NIGMS NIH HHS| NHGRI NIH HHS| PHS HHS
A survey on energy harvesting and integrated data sharing in wireless body area networks,2015,Guangdong University of Petrochemical Technology’s Internal Project
Searching in CMS open data for dimuon resonances with substantial transverse momentum,2019,U.S. Department of Energy| H2020 European Research Council| Aspen Center for Physics| Simons Foundation
Effects of respiratory rehabilitation on patients with novel coronavirus (COVID-19) pneumonia in the rehabilitation phase: protocol for a systematic review and meta-analysis.,2020,Xuzhou Medical Young Talents Projects| Jiangsu Provincial Medical Youth Talent
SPDS: A Secure and Auditable Private Data Sharing Scheme for Smart Grid Based on Blockchain,2021,National Natural Science Foundation of China| Science and Technology Commission of Shanghai Municipality
Cybervetting job applicants on social media: the new normal?,2020,"Canada Excellence Research Chairs, Government of Canada"
Sharing Public Health Research Data: Toward the Development of Ethical Data-Sharing Practice in Low- and Middle-Income Settings,2015,Wellcome Trust
Evolving Government Information Processes for Service Delivery: Identifying Types & Impact,2018,KU Leuven
Are ‘pseudonymised’ data always personal data? Implications of the GDPR for administrative data research in the UK,2018,ESRC
An Incentive Mechanism for Cross-Organization Data Sharing Based on Data Competitiveness,2018,Guangxi Broadband Wireless Communication and Signal Processing Key Laboratory Foundation| National Natural Science Foundation of China| Guangxi Provincial Education Department Foundation| Shandong Provincial Scientific Research Programs in Colleges and Universities| Guangxi Cognitive Radio and Information Processing Key Laboratory Authorized by China’s Ministry of Education Foundation| National Infrastructure Project| Shandong Provincial Natural Science Foundation for Young Scholars of China| Open Research Fund from the Shandong Provincial Key Laboratory of Computer Network| 2017 Open Foundation
GROUP - The Backstage Work of Data Sharing,2014,Division of Advanced Cyberinfrastructure
CitySDK Tourism API - building value around open data,2015,Seventh Framework Programme| Fundação para a Ciência e a Tecnologia
A descriptive analysis of the data availability statements accompanying medRxiv preprints and a comparison with their published counterparts.,2021,National Institute for Health Research (NIHR; https://www.nihr.ac.uk/) Doctoral Research Fellowship
Conflicts and Tentative Solutions to Protecting Personal Data in Investment Arbitration,2021,China Social Science Fund
Open sharing of genomic data : who does it and why?,2017,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung| Universität Zürich
A reference open data vertical axis wind turbine  with individual pitch control  for code validation purposes,2018,Politecnico di Milano
Observed data of extreme rainfall events over the West African Sahel.,2018,German Federal Ministry of Education and Research| French Ministry for Europe and Foreign Affairs
Comparison of metadata quality in open data portals using the Analytic Hierarchy Process,2018,Austrian Research Promotion Agency| Horizon 2020
Efficient Privacy-Preserving Data Sharing for Fog-Assisted Vehicular Sensor Networks.,2020,"Fundamental Research Funds for the Central Universities, CHD| Natural Science Foundation of Shaanxi Province"
Towards Increased Understanding of Open Data Use for Software Development,2019,H2020 LEIT Information and Communication Technologies
Consumers’ Willingness to Share Personal Data: Implications for Newspapers’ Business Models,2016,iMinds
Quantitative Imaging Network: Data Sharing and Competitive AlgorithmValidation Leveraging The Cancer Imaging Archive.,2014,NCI NIH HHS| CCR NIH HHS| NLM NIH HHS
ICSCA - Geospatial Data Sharing: Preliminary Studies on Issues and Challenges in Natural Disaster Management,2020,"Centre for Teaching and Learning, Universiti Teknologi Malaysia"
Case identification of mental health and related problems in children and young people using the New Zealand Integrated Data Infrastructure.,2020,"Ministry of Business, Innovation and Employment"
Attitudes and practices of open data  preprinting  and peer-review-A cross sectional study on Croatian scientists.,2021,University of Rijeka
How open data ecosystems are stimulated,2017,Interreg NWE
iProX in 2021: connecting proteomics data sharing with big data.,2021,National Key Research Program of China| National Natural Science Foundation of China| Program for Guangdong Introducing Innovative and Entrepreneurial Teams| Innovation special zone
ICBCT - Block-SMPC: A Blockchain-based Secure Multi-party Computation for Privacy-Protected Data Sharing,2020,National Natural Science Foundation of China| Science and Technology Commission of Shanghai Municipality
Image data sharing for biomedical research--meeting HIPAA requirements for De-identification.,2011,NCI NIH HHS| CCR NIH HHS
The iPROMOS protocol: a stepped-wedge study to implement routine patient-reported outcomes in a medical oncology outpatient setting,2019,Queensland University of Technology| Royal Brisbane and Women’s Hospital Foundation
Data Sharing in Alzheimer’s Disease Research,2018,This article is published under the Creative Commons Attribution Non-commercial License.
Intelligent conditional collaborative private data sharing,2019,EU-India REACH| EU TagItSmart! Project
Patterns in research and data sharing for the study of form and function in caviomorph rodents.,2020,Fondo Nacional de Desarrollo Científico y Tecnológico
Computational CAM: studying children and media in the age of big data,2016,Northeastern University
Urgent need for a data sharing platform to promote ecological research in China,2016,National Natural Science Foundation of China| National Key Research and Development Plan| Key Project in the National Science and Technology Pillar Program of China
A Research Agenda on Open Data Impact Process for Open Innovation,2020,"Ministerio de Ciencia, Innovación y Universidades| Rey Juan Carlos University"
Blockchain Based IIoT Data Sharing Framework for SDN-Enabled Pervasive Edge Computing,2021,Industrial Internet Innovation and Development Project| Key R&amp;D Program in Key Areas of Guangdong Province| Guangzhou Key Industrial Technology Project
Global open data in agriculture and nutrition (Godan) initiative partner network analysis,2018,"U.S. Department of Agriculture| Department for International Development, UK Government| Ministry of Economic Affairs, Dutch Government| Food and Agriculture Organization of the United Nations"
Conference on Designing Interactive Systems (Companion Volume) - Designing for Sharing and Trust: Opening the Access to Personal Data,2019,H2020 Marie Sk?odowska-Curie Actions
Efficient pairing-free PRE schemes for multimedia data sharing in IoT,2017,Scientific Research Fund of Hunan Provincial Education Department| Project of Ordinary University Innovation Team Construction of Guangdong Province| Basic Research Major Projects of Department of education of Guangdong Province| Collaborative Innovation Major Projects of Bureau of Education of Guangzhou City| Foundation of National Natural Science of China| Guangdong Province Natural Science Foundation of major basic research and Cultivation project
Secure server-aided data sharing clique with attestation,2020,Natural Science Foundation of Guangxi Zhuang Autonomous Region| Foundation of Science and Technology on Information Assurance Laboratory| National Natural Science Foundation of China| National Research Foundation Singapore
Study protocol for a cohort study of patients with advanced heart failure in Singapore,2018,Health Services Research Competitive Research Grant
Data Science for Geoscience: Leveraging Mathematical Geosciences with Semantics and Open Data,2018,International Association of Mathematical Geosciences
WebCloud: Web-Based Cloud Storage for Secure Data Sharing across Platforms,2020,National Natural Science Foundation of China| Beijing Municipal Science and Technology Project| Key Research Project of Zhejiang Province
Data availability  reusability  and analytic reproducibility: evaluating the impact of a mandatory open data policy at the journal Cognition,2018,National Science Foundation| Laura and John Arnold Foundation
A funder-imposed data publication requirement seldom inspired data sharing,2018,Exxon Valdez Oil Spill Trustee Council
Cost-Effective Authentic and Anonymous Data Sharing with Forward Security,2015,"National Natural Science Foundation of China| Natural Science Foundation of Fujian Province| Department of Education, Fujian Province| Fujian Normal University Innovative Research Team| Fok Ying Tung Education Foundation| Ministry of Education of China"
Review and Perspectives on Data Sharing and Privacy in Expanding Electricity Access,2019,Directorate for Computer and Information Science and Engineering
A Secure and Lightweight Fine-Grained Data Sharing Scheme for Mobile Cloud Computing.,2020,National Natural Science Foundation of China| the Department of Education of Zhejiang Province of China| Natural Science Foundation of Zhejiang Province| Guangxi Key Laboratory of Cryptography and Information Security| the Key Research Project of Zhejiang Province| the Opening Project of Guangdong Provincial Key Laboratory of Information Security Technology
An empirical meta-analysis of the life sciences linked open data on the web,2021,U.S. Department of Health &amp; Human Services | NIH | National Human Genome Research Institute (NHGRI)| U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences (NIGMS)
Life-swap: how discussions around personal data can motivate desire for change,2020,Engineering and Physical Sciences Research Council
An Open Data Platform for Traffic Parameters Measurement via Multirotor Unmanned Aerial Vehicles Video,2017,Ministry of Science and Technology of the People’s Republic of China
Blockchain-Enabled Secure Data Sharing Scheme in Mobile-Edge Computing: An Asynchronous Advantage Actor–Critic Learning Approach,2021,National Natural Science Foundation of China| key Research and Development plan of Shaanxi province| National Key Research and Development Program of China| Japan Society for the Promotion of Science KAKENHI Grant
Understanding the Spatial Effects of Unaffordable Housing Using the Commuting Patterns of Workers in the New Zealand Integrated Data Infrastructure,2021,"Ministry of Business, Innovation and Employment"
Secure Data Sharing: Blockchain enabled Data Access Control Framework for IoT,2021,key science and technology projects of State Grid Corporation of China
CSCW - “This has to be the cats”: Personal Data Legibility in Networked Sensing Systems,2016,Engineering and Physical Sciences Research Council
From Rosalind Franklin to Barack Obama: Data Sharing Challenges and Solutions in Genomics and Personalised Medicine.,2017,Medical Research Council
Predicting the impact of urban flooding using open data,2016,Engineering and Physical Sciences Research Council
Reliable Policy Updating under Efficient Policy Hidden Fine-grained Access Control Framework for Cloud Data Sharing,2021,AXA Research Fund and the Singapore National Research Foundation Cybersecurity RD| National Natural Science Foundation of China| Key project of Anhui provincial department of education
The political economy of spatial data infrastructures,2017,"University of California, Los Angeles| CONACYT – UC MEXUS"
Trustworthy Blockchain-Empowered Collaborative Edge Computing-as-a-Service Scheduling and Data Sharing in the IIoE,2021,National Natural Science Foundation of China| Yunnan Applied Basic Research Projects| Yunnan Young Top Talents of Ten Thousands Plan| Major scientific and technological projects in Yunnan Province
A Secure and Lightweight Data Sharing Scheme for Internet of Medical Things,2020,National Natural Science Foundation of China| Natural Science Foundation of Shandong Province
R²PEDS : A Recoverable and Revocable Privacy-Preserving Edge Data Sharing Scheme,2020,National Natural Science Foundation of China| National Key Research and Development Project| Fundamental Research Funds for the Central Universities| Overseas Returnees Innovation and Entrepreneurship Support Program of Chongqing| Deanship of Scientific Research at Prince Sattam Bin Abdulaziz University| Chongqing Research Program of Basic Research and Frontier Technology| Key Project of Technology Innovation and Application Development of Chongqing
Clinical trial transparency and data sharing among biopharmaceutical companies and the role of company size  location and product type: a cross-sectional descriptive analysis.,2021,FDA HHS| AHRQ HHS| NHLBI NIH HHS
Security controls in an integrated Biobank to protect privacy in data sharing: rationale and study design.,2017,"Ministry of Education, Culture, Sports, Science, and Technology| Japan Agency for Medical Research and Development"
OpenSlice: Quantitative data sharing from HyperPeaks to global ion chromatograms (GICs).,2016,National Institute of Standards and Technology
Visual Mementos: Reflecting Memories with Personal Data,2016,AITF| Smart Technologies| Natural Sciences and Engineering Research Council of Canada| SurfNet
Relationship between osteonecrosis and antiphospholipid antibodies in patients with systemic lupus erythematosus: a systematic review protocol.,2021,Natural Science Foundation of Fujian Province
Grape-RNA: A Database for the Collection  Evaluation  Treatment  and Data Sharing of Grape RNA-Seq Datasets.,2020,National Science Foundation of China| National Key Research and Development Program of China
Survey on the importance of using personal data for learning analytics and of data privacy,2020,Bulgarian National Science Fund
Association between child maltreatment and central sensitivity syndromes: a systematic review protocol,2019,"University of Birmingham| Sandwell and West Birmingham, “Sandwell Medication Education Centre Trustee” grant for junior doctors"
K-CAP - Blockchain for Trustworthy Publication and Integration of Linked Open Data,2021,Federal Ministry of Education andResearch of Germany (BMBF)
Pitching trade against privacy: reconciling EU governance of personal data flows with external trade,2020,Netherlands Code of Conduct for Research Integrity
DG.O - SecureGov: secure data sharing for government services,2013,Division of Undergraduate Education
MobiSys - Demo: open data kit 2.0 tool suite,2014,Division of Information and Intelligent Systems| Division of Graduate Education
Determining the level of data sharing  and number of publications  from research databases that have been given a favourable opinion by UK research ethics committees.,2020,Health Research Authority
Privacy-Preserved Data Sharing Towards Multiple Parties in Industrial IoTs,2020,National Science Foundation| Young Scientists Fund of the National Natural Science Foundation of China
Integration of Linked Open Data in Collaborative Group Recommender Systems,2021,Ministry of Higher Education
Historical Spatial-Data Infrastructures for Archaeology: Towards a Spatiotemporal Big-Data Approach to Studying the Postindustrial City,2020,National Endowment for the Humanities| Michigan Technological University| Social Sciences and Humanities Research Council of Canada
Design and Implementation of Data Sharing Traceability System Based on Blockchain Smart Contract,2021,Innovation and Entrepreneurship Demonstration Team of Yingcai Program of Chongqing
Further delineation of a rare recessive encephalomyopathy linked to mutations in GFER thanks to data sharing of whole exome sequencing data.,2017,Regional Council of Burgundy and Dijon University Hospital| AOI
Fostering global data sharing: highlighting the recommendations of the Research Data Alliance COVID-19 working group.,2021,Wellcome Trust| Fundação de Amparo à Pesquisa do Estado de São Paulo| Université de Bordeaux| Horizon 2020| University of Michigan| National Institute on Drug Abuse| National Science Foundation| Agence Universitaire de la Francophonie| Inter-university Consortium for Political and Social Research| European Commission| Canadian Cancer Genome Collaboratory
Data Standards for Omics Data: The Basis of Data Sharing and Reuse,2011,Biotechnology and Biological Sciences Research Council| NLM NIH HHS
ElVisML: an open data format for the exchange and storage of electrophysiological data in ophthalmology,2017,Tistou and Charlotte Kerstan Foundation
SMC: A Practical Schema for Privacy-Preserved Data Sharing over Distributed Data Streams,2015,National Natural Science Foundation of China| Basic Research Program of Shenzhen| Russian Science Foundation| NSFC Guang Dong| Hong Kong RGC Project| National Basic Research Program of China| National Grand Fundamental Research 973 Program of China| University of Macau
Data Infrastructure Elements in Support of Accelerated Materials Innovation: ELA  PyMKS  and MATIN,2019,National Institute of Standards and Technology
Open data base analysis of scaling and spatio-temporal properties of power grid frequencies,2020,EC | EU Framework Programme for Research and Innovation H2020 | H2020 Priority Excellent Science | H2020 Marie Skłodowska-Curie Actions (H2020 Excellent Science - Marie Skłodowska-Curie Actions)
Achieving Privacy-Preserving and Verifiable Data Sharing in Vehicular Fog With Blockchain,2021,Grant
Open Data Revolution in Clinical Research: Opportunities and Challenges.,2020,FDA HHS| ODCDC CDC HHS
Blockchain and Federated Learning for Privacy-Preserved Data Sharing in Industrial IoT,2020,National Natural Science Foundation of China| Xinjiang
Making Open Data Work for Civic Advocacy,2018,Engineering and Physical Sciences Research Council
Data-Sharing Method for Multi-Smart Devices at Close Range,2015,Ministry of Education
A Systematic Literature Review of Ethical Challenges Related to Medical and Public Health Data Sharing in China.,2021,Beijing Philosophy and Social Science Foundation
Extending the Minimum Information About BIobank Data Sharing Terminology to Describe Samples  Sample Donors  and Events.,2020,Medical Research Council
Governance interactions of spatial data infrastructures: an agent-based modelling approach,2021,Dutch Research Council
The normative framework of the protection of personal data in the field of (bio)medicine,2012,"Ministry of Education, Science and Technological Development of the Republic of Serbia"
Enhancing discovery in spatial data infrastructures using a search engine,2018,"U.S. National Science Foundation Industry-University Cooperative Research Centers Program (IUCRC)| U.S. National Endowment for the Humanities, Digital Humanities Implementation| Harvard University| Spatiotemporal Thinking, Computing, and Applications Center (STC)| Harvard’s Institute for Quantitative Social Science"
VCIP - Video Anomaly Detection Using Open Data Filter and Domain Adaptation,2020,National Natural Science Foundation of China| Youth Innovation Promotion Association
R2LD: Schema-based Graph Mapping of relational databases to Linked Open Data for multimedia resources data,2019,Wonkwang University
Development of a MyData Platform Based on the Personal Health Record Data Sharing System in Korea,2021,the Ministry of Science and ICT
Who Killed Albert Einstein? From Open Data to Murder Mystery Games,2019,Science Without Borders program| Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
Data Sharing and Embedded Research,2017,NIAID NIH HHS| NIMH NIH HHS| NIAMS NIH HHS| NINDS NIH HHS| NCI NIH HHS| NCCIH NIH HHS| NIA NIH HHS| NIDDK NIH HHS
Share and protect our health data: an evidence based approach to rare disease patients’ perspectives on data sharing and data protection - quantitative survey and recommendations,2019,Wellcome Trust
Anonymous and Efficient Certificateless Multirecipient Signcryption Scheme for Ecological Data Sharing,2020,Natural Science Function of Qinghai Province
European Journal of Pharmaceutical Sciences - Model-based clinical dose optimization for phenobarbital in neonates: An illustration of the importance of data sharing and external validation.,2017,General University Hospital| Netherlands Organisation for Health Research and Development
What drives and inhibits researchers to share and use open research data? A systematic literature review to analyze factors influencing open research data adoption.,2020,"Ministry of Education| Ministry of Science and Technology, Taiwan"
SACMAT - Preventing Information Inference in Access Control,2015,Seventh Framework Programme| Eurocontrol| ITEA2| COMMIT| European Defense Agency
Pilot study protocol to inform a future longitudinal study of ageing using linked administrative data: Healthy AGeing in Scotland (HAGIS).,2018,NIA NIH HHS| Chief Scientist Office
Cpds: Enabling Compressed and Private Data Sharing for Industrial Internet of Things Over Blockchain,2021,China Postdoctoral Science Foundation| National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| Hong Kong GRF
The Tension Between Data Sharing and the Protection of Privacy in Genomics Research,2012,Wellcome Trust
ICN - Analyzing GDPR compliance of named data networking,2021,"Intel Labs, US NSF| EPSCoR Cooperative agreement"
Fair and Dynamic Data Sharing Framework in Cloud-Assisted Internet of Everything,2019,National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| China Postdoctoral Science Foundation| Natural Science Foundation of Shaanxi Province| AXA Research Fund| China Scholarship Council| National Research Foundation Singapore
Modelling the potential effect of shared bicycles on public transport travel times in Greater Helsinki: An open data approach☆,2013,KatuMetro research program| University of Helsinki
Camflow: Managed Data-Sharing for Cloud Services,2017,UK Engineering and Physical Sciences Research Council
UMAP (Adjunct Publication) - On the Benefits and Security Risks of a User-Centric Data Sharing Platform for Healthcare Provision,2021,European Commission under H2020-EU.3.1.5.1.
MISNC - Developing Four Stars Election Open Data in RDF: Evidence from Taiwan Election Open Data Project,2016,Central Election Commission of Taiwan (ROC)
VizSec - A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet,2020,Ministry of Education
A Puzzle-Based Data Sharing Approach with Cheating Prevention Using QR Code,2021,Ministry of Science and Technology
Motivations for data sharing—views of research participants from four European countries: A DIRECT study,2019,Medical Research Council
A Self-Controllable and Balanced Data Sharing Model,2019,National Natural Science Foundation of China| Science and Technology Planning Project of Sichuan Province
Personal Data Market Optimization Pricing Model Based on Privacy Level,2019,National Nature Science Foundation of China
Consent recommendations for research and international data sharing involving persons with dementia,2018,Canadian Institute of Health Research
GMSA: A Data Sharing System for Multiple Sequence Alignment Across Multiple Users,2019,NationalNatural Science Foundation of China| Tianjin Natural Science Foundation
Data Sharing in Southeast Asia During the First Wave of the COVID-19 Pandemic.,2021,Engineering and Physical Sciences Research Council
The difficulties of broad data sharing in genomic medicine: Empirical evidence from diverse participants in prenatal and pediatric clinical genomics research,2021,National Institutes of Health| National Human Genome Research Institute
Semantic Specification of Data Types for a World of Open Data,2016,"Center for Hierarchical Manufacturing, National Science Foundation"
Better governance  better access: practising responsible data sharing in the METADAC governance infrastructure,2018,Wellcome Trust| Medical Research Council
Global open data management in metabolomics,2017,Biotechnology and Biological Sciences Research Council
Equitable data sharing: challenges and suggestions for ways forward,2019,"Wellcome Trust| Bill and Melinda Gates Foundation| Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)’s Global Network for Women and Children’s Health Research, USA| National Institutes of Health| Medical Research Council| National Research Center on Child and Maternal Health Dr. Hugo Mendoza (CENISMI).| Exxon Mobil Corporation"
Data infrastructure requirements for new geodemographic classifications: The example of London's workplace zones,2019,ESRC Consumer Data Research Centre
Data sharing and distribution security protection strategy for the electric power industry,2021,State Grid Corporation of China
Secure and Efficient Data Sharing Scheme Based on Certificateless Hybrid Signcryption for Cloud Storage,2019,National Natural Science Foundation of China| 111 Project
Data Authorship as an Incentive to Data Sharing.,2017,Medical Research Council
A Blockchain-Based Medical Data Sharing and Protection Scheme,2019,Laboratory for Internet of Things and Mobile Internet Technology of Jiangsu Province| National Natural Science Foundation of China| Southwest University for Nationalities| Key Fund Project of Sichuan Provincial Department of Education
DATA@SenSys - Designing privacy preserving data sharing middleware for internet of things,2020,Defense Advanced Research Projects Agency| National Science Foundation (NSF)
