title,year published,funders
R²PEDS : A Recoverable and Revocable Privacy-Preserving Edge Data Sharing Scheme,2020,Key Project of Technology Innovation and Application Development of Chongqing| National Natural Science Foundation of China| Overseas Returnees Innovation and Entrepreneurship Support Program of Chongqing| National Key Research and Development Project| Deanship of Scientific Research at Prince Sattam Bin Abdulaziz University| Fundamental Research Funds for the Central Universities| Chongqing Research Program of Basic Research and Frontier Technology
Clinical trial transparency and data sharing among biopharmaceutical companies and the role of company size  location and product type: a cross-sectional descriptive analysis.,2021,NHLBI NIH HHS| AHRQ HHS| FDA HHS
Security controls in an integrated Biobank to protect privacy in data sharing: rationale and study design.,2017,"Ministry of Education, Culture, Sports, Science, and Technology| Japan Agency for Medical Research and Development"
State-level cancer quality assessment and research: building and sustaining the data infrastructure.,2011,NCI NIH HHS
OpenSlice: Quantitative data sharing from HyperPeaks to global ion chromatograms (GICs).,2016,National Institute of Standards and Technology
Visual Mementos: Reflecting Memories with Personal Data,2016,SurfNet| AITF| Natural Sciences and Engineering Research Council of Canada| Smart Technologies
Relationship between osteonecrosis and antiphospholipid antibodies in patients with systemic lupus erythematosus: a systematic review protocol.,2021,Natural Science Foundation of Fujian Province
Grape-RNA: A Database for the Collection  Evaluation  Treatment  and Data Sharing of Grape RNA-Seq Datasets.,2020,National Key Research and Development Program of China| National Science Foundation of China
Survey on the importance of using personal data for learning analytics and of data privacy,2020,Bulgarian National Science Fund
Big data from small data: data-sharing in the 'long tail' of neuroscience,2014,NIDA NIH HHS| NINDS NIH HHS
CytoML for cross‐platform cytometry data sharing,2018,NIAID NIH HHS| NIGMS NIH HHS
Examining Compliance with Personal Data Protection Regulations in Interorganizational Data Analysis,2021,"Ministry of Science and Technology, Taiwan"
A system to build distributed multivariate models and manage disparate data sharing policies: implementation in the scalable national network for effectiveness research,2015,NHLBI NIH HHS| NCATS NIH HHS| NLM NIH HHS| AHRQ HHS
Opening Opportunities With Open Data.,2018,NHLBI NIH HHS
Qualitative Data Sharing: Data Repositories and Academic Libraries as Key Partners in Addressing Challenges:,2018,NHGRI NIH HHS| NIDA NIH HHS
Association between child maltreatment and central sensitivity syndromes: a systematic review protocol,2019,"University of Birmingham| Sandwell and West Birmingham, “Sandwell Medication Education Centre Trustee” grant for junior doctors"
K-CAP - Blockchain for Trustworthy Publication and Integration of Linked Open Data,2021,Federal Ministry of Education andResearch of Germany (BMBF)
Making big data open: Data sharing in neuroimaging,2014,NIDA NIH HHS
Pitching trade against privacy: reconciling EU governance of personal data flows with external trade,2020,Netherlands Code of Conduct for Research Integrity
DG.O - SecureGov: secure data sharing for government services,2013,Division of Undergraduate Education
Hidden Policy Attribute-Based Data Sharing with Direct Revocation and Keyword Search in Cloud Computing.,2018,National Natural Science Foundation of China
MobiSys - Demo: open data kit 2.0 tool suite,2014,Division of Information and Intelligent Systems| Division of Graduate Education
Determining the level of data sharing  and number of publications  from research databases that have been given a favourable opinion by UK research ethics committees.,2020,Health Research Authority
Privacy-Preserved Data Sharing Towards Multiple Parties in Industrial IoTs,2020,Young Scientists Fund of the National Natural Science Foundation of China| National Science Foundation
Integration of Linked Open Data in Collaborative Group Recommender Systems,2021,Ministry of Higher Education
Historical Spatial-Data Infrastructures for Archaeology: Towards a Spatiotemporal Big-Data Approach to Studying the Postindustrial City,2020,Social Sciences and Humanities Research Council of Canada| Michigan Technological University| National Endowment for the Humanities
